State,Name,Total Population,Median Age,Median Household Income Per Year (Dollars),Income Per Capita Per Year (Dollars),Percentage of People Living in Poverty,Percentage of Unemployed,Percentage of People Who Completed No Schooling (25+),Percentage of People with High School Degree (25+),Percentage of People with GED (25+),Percentage of People with Associates Degree (25+),Percentage of People with Bachelors Degree (25+),Percentage of People with Masters Degree (25+),Percentage of People with Professional Degree (25+),Percentage of People with Doctoral Degree (25+),Percentage of People of European American Origin,Percentage of People of African American Origin,Percentage of People of Native American Origin,Percentage of People of Asian Origin,Percentage of People of Pacific Islander Origin,Percentage of People of Hispanic Origin,Percentage of People of Multiethnic Origin
13,Georgia,9810417.0,35.6,49179.0,25182.0,17.702407553114206,5.5533011491764315,0.8326863170036503,15.403463481725598,3.1212536633254224,4.474723143776662,11.435599526503308,4.619773043286539,1.236155405014894,0.7284399837438102,60.639389742556304,30.6917025035735,0.24969376938819218,3.3677671397658226,0.046420045141812014,8.927744865483293,1.9690294510416835
15,Hawaii,1376298.0,38.3,67402.0,29305.0,10.864725517293493,3.5419654755002186,0.7357418233551164,17.49642882573396,1.6610501504761324,6.721800075274395,13.542052665919735,4.600093875018346,1.488122485101337,0.8952276323877533,25.030044365391795,1.782462809653142,0.22160898293828807,38.272452622905796,9.789522327286678,9.312736049896172,23.783657318400518
16,Idaho,1583364.0,34.9,46767.0,22568.0,15.176421846145297,4.243433600864994,0.6438191091877798,14.401678956954939,3.1966749275592976,5.542692646795051,10.886757561748277,3.45605937737627,0.8734567667320969,0.6292930747446576,91.93666143729426,0.5656943065523784,1.262122923092858,1.2720385205170763,0.1399551840259094,11.42510502954469,2.4920991003963713
17,Illinois,12848554.0,36.8,56797.0,29666.0,13.794026938751239,5.452878199367804,0.7400599320359318,15.61450416910728,2.3562807145457767,4.923269964853633,12.903763333990737,5.7547643104430275,1.407387944199791,0.7597430808167207,72.5444279566401,14.410368668723345,0.21440544982727242,4.747016668179159,0.023185488421498635,16.038427359218787,2.0679525493685906
18,Indiana,6514861.0,37.1,48248.0,24635.0,14.887209412449476,4.842405693690164,0.5766661790635288,19.75389804939814,3.281159797576648,5.139541733891176,9.702340541110548,3.9737762632234213,0.8577312700915645,0.6271814548307324,84.58535032443515,9.101560263526727,0.22985908678634895,1.6510405977963307,0.028427314105396877,6.151904085137043,2.098310309306676
19,Iowa,3062553.0,38.1,51843.0,27027.0,11.996984215456843,3.099146365793506,0.44946160931745505,19.09534300304354,2.663333499861064,7.021886641635263,11.739225410956152,3.6636100665033386,0.9512325174454124,0.681359636878121,91.51968961843274,2.9959971304986395,0.30823956352755366,1.8245561791093903,0.04535431713345042,5.149657818166738,1.9013221975260508
20,Kansas,2868107.0,36.0,51332.0,26929.0,13.34747971397162,3.637974454927937,0.48547700626231866,14.969420596930311,2.765343133990468,4.904977394497485,12.669889930884725,4.996361711749247,1.145633688003969,0.706737928536139,85.39684886233324,5.72848223584406,0.8353244840586492,2.454859599031696,0.06579252447694595,10.743044105397741,3.2242520938026367
21,Kentucky,4361333.0,38.2,43036.0,23462.0,18.255932303265997,4.631313408079594,0.7339269897529035,18.043795325878577,4.634294148142323,4.741440289012557,8.546423765394664,4.199656389457076,1.0855855308457298,0.5830327562697001,87.93212992449786,7.831917443588921,0.20202538994385433,1.1787909797302798,0.04629318605114537,3.126108462710827,1.8462933236237637
22,Louisiana,4567968.0,36.0,44874.0,24442.0,18.53734527036967,4.206815809567843,0.8484516529012464,18.806655388128814,3.4038548431162394,3.3750455344695935,9.490565608165381,3.1713663493264406,0.9970954262376619,0.574325389319715,62.92152221731852,32.034922311189575,0.6231654862731087,1.608154873239042,0.04686985548059881,4.4252718057569576,1.6457864853694246
23,Maine,1328320.0,43.2,48453.0,26824.0,13.221512888460612,4.055197542760781,0.4213593110093953,20.360756444230304,3.7096482775234882,6.499713924355577,12.72743013731631,5.032597566851361,1.2606901951337026,0.8254035172247651,95.16133160684173,1.1019182124789206,0.5543844856661045,1.0833985786557456,0.01851963382317514,1.3510298723199228,1.8122892074198989
24,Maryland,5834299.0,38.0,73538.0,36354.0,9.569770078633269,4.466123522294624,0.6805959036381234,15.411585864899966,2.008553212648169,4.2142337922687885,13.523852651363944,7.644277401620999,1.9612124781400473,1.6194404846237738,58.383072242269385,29.439389376512924,0.3005502460535533,5.701113364261928,0.04404985071899812,8.455343135482087,2.77848289914521
25,Massachusetts,6605058.0,39.2,66866.0,35763.0,10.981750652303129,4.88610395245583,0.9145264129399016,15.629158744707466,1.9897327169572168,5.270158112161922,15.234839724344585,8.148664250942232,1.8903391915710654,1.619516437251573,80.52235120418322,6.88694936516833,0.19615270600197607,5.574182694535006,0.02840247579960691,9.929708414369715,2.736357500570018
26,Michigan,9886095.0,39.1,48411.0,25681.0,16.44716139183368,6.235717945255432,0.7049800755505586,17.653967517002418,2.639515400165586,5.714592060869332,10.620270187571533,4.918858254953043,1.0816910013508874,0.6784073994838205,79.31353077226144,14.011133819774138,0.5551332452297899,2.540689726327736,0.02255693476544581,4.527510609598633,2.467789354644073
27,Minnesota,5347740.0,37.6,59836.0,30913.0,11.189605328606103,3.942132564410387,0.6380826292976098,15.814998485341473,2.0763911484103565,6.829277414384394,14.607778239031816,4.935785958180465,1.3792742354714327,0.7949339347088678,85.56868882929986,5.234809470916686,1.074827871212886,4.165516648154174,0.04224214341011343,4.808461144333869,2.4689495001626858
28,Mississippi,2976872.0,36.2,39031.0,20618.0,21.946560013329428,5.010225498442661,0.8940592675801983,15.822615147712096,3.8234428621721057,5.237343090331059,8.267066907814646,3.319860578486411,0.823414644633696,0.5557847297431666,59.4505239056298,37.18607988519493,0.4377077684226934,0.9286929367470285,0.009204292290699767,2.735522387257497,1.159203351706086
29,Missouri,6007182.0,38.0,47380.0,25649.0,14.997531288381142,4.455400219270866,0.508341515206298,17.94981407255515,3.093979839465493,4.707082289166534,10.91415242621249,4.705384321633671,1.0991509829400874,0.7114317495291469,82.97822506459768,11.505028480908353,0.3792293957466246,1.6473947351686697,0.10425853586590185,3.657372125565698,2.3178921497634
30,Montana,998554.0,39.9,46230.0,25373.0,14.87430824972911,3.775659603787076,0.27369576407485224,17.19256044239971,3.2134466438470026,5.556034025200439,13.398173759255885,4.068983750503228,1.2116520488626554,0.7919451526907909,89.43251942308578,0.4043847403345237,6.451929490042602,0.6255044794773242,0.06769789115060378,3.0534152384347766,2.433018144236566
