,state,State Name,disease,Number of Smallpox Cases,"Smallpox Incidence Per 100,000 People",year,number_week
47945,MD,MARYLAND,SMALLPOX,0,0.0,1947,17
47946,ME,MAINE,SMALLPOX,0,0.0,1947,17
47947,MI,MICHIGAN,SMALLPOX,0,0.0,1947,17
47948,MN,MINNESOTA,SMALLPOX,0,0.0,1947,17
47949,MO,MISSOURI,SMALLPOX,3,0.08,1947,17
47950,MS,MISSISSIPPI,SMALLPOX,0,0.0,1947,17
47951,MT,MONTANA,SMALLPOX,0,0.0,1947,17
47952,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1947,17
47953,ND,NORTH DAKOTA,SMALLPOX,2,0.35,1947,17
47954,NE,NEBRASKA,SMALLPOX,0,0.0,1947,17
47955,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1947,17
47956,NJ,NEW JERSEY,SMALLPOX,0,0.0,1947,17
47957,NM,NEW MEXICO,SMALLPOX,4,0.69,1947,17
47958,NV,NEVADA,SMALLPOX,0,0.0,1947,17
47959,NY,NEW YORK,SMALLPOX,0,0.0,1947,17
47960,OH,OHIO,SMALLPOX,0,0.0,1947,17
47961,OK,OKLAHOMA,SMALLPOX,1,0.05,1947,17
47962,OR,OREGON,SMALLPOX,0,0.0,1947,17
47963,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1947,17
47964,RI,RHODE ISLAND,SMALLPOX,0,0.0,1947,17
47965,SC,SOUTH CAROLINA,SMALLPOX,1,0.05,1947,17
47966,SD,SOUTH DAKOTA,SMALLPOX,0,0.0,1947,17
47967,TN,TENNESSEE,SMALLPOX,0,0.0,1947,17
47968,TX,TEXAS,SMALLPOX,0,0.0,1947,17
47969,UT,UTAH,SMALLPOX,0,0.0,1947,17
47970,VA,VIRGINIA,SMALLPOX,0,0.0,1947,17
47971,VT,VERMONT,SMALLPOX,0,0.0,1947,17
47972,WA,WASHINGTON,SMALLPOX,0,0.0,1947,17
47973,WI,WISCONSIN,SMALLPOX,0,0.0,1947,17
47974,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1947,17
47975,WY,WYOMING,SMALLPOX,0,0.0,1947,17
47976,AL,ALABAMA,SMALLPOX,0,0.0,1947,18
47977,AR,ARKANSAS,SMALLPOX,0,0.0,1947,18
47978,AZ,ARIZONA,SMALLPOX,0,0.0,1947,18
