,state,State Name,disease,Number of Smallpox Cases,"Smallpox Incidence Per 100,000 People",year,number_week
28937,FL,FLORIDA,SMALLPOX,0,0.0,1939,40
28938,GA,GEORGIA,SMALLPOX,0,0.0,1939,40
28939,IA,IOWA,SMALLPOX,3,0.1,1939,40
28940,ID,IDAHO,SMALLPOX,1,0.1,1939,40
28941,IL,ILLINOIS,SMALLPOX,3,0.03,1939,40
28942,IN,INDIANA,SMALLPOX,8,0.24,1939,40
28943,KS,KANSAS,SMALLPOX,2,0.11,1939,40
28944,KY,KENTUCKY,SMALLPOX,0,0.0,1939,40
28945,LA,LOUISIANA,SMALLPOX,0,0.0,1939,40
28946,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1939,40
28947,MD,MARYLAND,SMALLPOX,0,0.0,1939,40
28948,ME,MAINE,SMALLPOX,0,0.0,1939,40
28949,MI,MICHIGAN,SMALLPOX,0,0.0,1939,40
28950,MN,MINNESOTA,SMALLPOX,1,0.02,1939,40
28951,MO,MISSOURI,SMALLPOX,0,0.0,1939,40
28952,MS,MISSISSIPPI,SMALLPOX,0,0.0,1939,40
28953,MT,MONTANA,SMALLPOX,4,0.63,1939,40
28954,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1939,40
28955,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1939,40
28956,NE,NEBRASKA,SMALLPOX,0,0.0,1939,40
28957,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1939,40
28958,NJ,NEW JERSEY,SMALLPOX,0,0.0,1939,40
28959,NM,NEW MEXICO,SMALLPOX,0,0.0,1939,40
28960,NY,NEW YORK,SMALLPOX,0,0.0,1939,40
28961,OH,OHIO,SMALLPOX,0,0.0,1939,40
28962,OK,OKLAHOMA,SMALLPOX,2,0.06,1939,40
28963,OR,OREGON,SMALLPOX,1,0.05,1939,40
28964,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1939,40
28965,RI,RHODE ISLAND,SMALLPOX,0,0.0,1939,40
28966,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1939,40
28967,SD,SOUTH DAKOTA,SMALLPOX,0,0.0,1939,40
28968,TN,TENNESSEE,SMALLPOX,0,0.0,1939,40
28969,TX,TEXAS,SMALLPOX,0,0.0,1939,40
28970,UT,UTAH,SMALLPOX,0,0.0,1939,40
28971,VA,VIRGINIA,SMALLPOX,0,0.0,1939,40
28972,VT,VERMONT,SMALLPOX,0,0.0,1939,40
28973,WA,WASHINGTON,SMALLPOX,2,0.09,1939,40
28974,WI,WISCONSIN,SMALLPOX,1,0.03,1939,40
28975,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1939,40
28976,WY,WYOMING,SMALLPOX,0,0.0,1939,40
28977,AL,ALABAMA,SMALLPOX,1,0.02,1939,41
28978,AR,ARKANSAS,SMALLPOX,1,0.03,1939,41
28979,AZ,ARIZONA,SMALLPOX,2,0.41,1939,41
28980,CA,CALIFORNIA,SMALLPOX,2,0.03,1939,41
28981,CO,COLORADO,SMALLPOX,1,0.09,1939,41
28982,CT,CONNECTICUT,SMALLPOX,0,0.0,1939,41
28983,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1939,41
28984,DE,DELAWARE,SMALLPOX,0,0.0,1939,41
28985,FL,FLORIDA,SMALLPOX,0,0.0,1939,41
28986,GA,GEORGIA,SMALLPOX,0,0.0,1939,41
28987,IA,IOWA,SMALLPOX,1,0.04,1939,41
28988,ID,IDAHO,SMALLPOX,1,0.1,1939,41
28989,IL,ILLINOIS,SMALLPOX,1,0.01,1939,41
28990,IN,INDIANA,SMALLPOX,9,0.26,1939,41
28991,KS,KANSAS,SMALLPOX,0,0.0,1939,41
28992,KY,KENTUCKY,SMALLPOX,0,0.0,1939,41
28993,LA,LOUISIANA,SMALLPOX,0,0.0,1939,41
28994,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1939,41
28995,MD,MARYLAND,SMALLPOX,0,0.0,1939,41
28996,ME,MAINE,SMALLPOX,0,0.0,1939,41
28997,MI,MICHIGAN,SMALLPOX,0,0.0,1939,41
28998,MN,MINNESOTA,SMALLPOX,2,0.05,1939,41
28999,MO,MISSOURI,SMALLPOX,0,0.0,1939,41
29000,MS,MISSISSIPPI,SMALLPOX,0,0.0,1939,41
29001,MT,MONTANA,SMALLPOX,2,0.36,1939,41
29002,NC,NORTH CAROLINA,SMALLPOX,1,0.01,1939,41
29003,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1939,41
29004,NE,NEBRASKA,SMALLPOX,0,0.0,1939,41
29005,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1939,41
29006,NJ,NEW JERSEY,SMALLPOX,0,0.0,1939,41
29007,NM,NEW MEXICO,SMALLPOX,0,0.0,1939,41
29008,NY,NEW YORK,SMALLPOX,0,0.0,1939,41
29009,OH,OHIO,SMALLPOX,0,0.0,1939,41
29010,OK,OKLAHOMA,SMALLPOX,2,0.06,1939,41
29011,OR,OREGON,SMALLPOX,1,0.09,1939,41
29012,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1939,41
29013,RI,RHODE ISLAND,SMALLPOX,0,0.0,1939,41
29014,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1939,41
29015,SD,SOUTH DAKOTA,SMALLPOX,1,0.16,1939,41
29016,TN,TENNESSEE,SMALLPOX,0,0.0,1939,41
29017,TX,TEXAS,SMALLPOX,1,0.02,1939,41
29018,UT,UTAH,SMALLPOX,0,0.0,1939,41
29019,VA,VIRGINIA,SMALLPOX,0,0.0,1939,41
29020,VT,VERMONT,SMALLPOX,0,0.0,1939,41
29021,WA,WASHINGTON,SMALLPOX,1,0.03,1939,41
29022,WI,WISCONSIN,SMALLPOX,1,0.02,1939,41
29023,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1939,41
29024,WY,WYOMING,SMALLPOX,0,0.0,1939,41
29025,AL,ALABAMA,SMALLPOX,0,0.0,1939,42
29026,AR,ARKANSAS,SMALLPOX,2,0.1,1939,42
29027,AZ,ARIZONA,SMALLPOX,0,0.0,1939,42
29028,CA,CALIFORNIA,SMALLPOX,5,0.07,1939,42
29029,CO,COLORADO,SMALLPOX,1,0.09,1939,42
29030,CT,CONNECTICUT,SMALLPOX,0,0.0,1939,42
29031,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1939,42
29032,DE,DELAWARE,SMALLPOX,0,0.0,1939,42
29033,FL,FLORIDA,SMALLPOX,0,0.0,1939,42
29034,GA,GEORGIA,SMALLPOX,0,0.0,1939,42
29035,IA,IOWA,SMALLPOX,1,0.04,1939,42
29036,ID,IDAHO,SMALLPOX,0,0.0,1939,42
29037,IL,ILLINOIS,SMALLPOX,1,0.01,1939,42
29038,IN,INDIANA,SMALLPOX,8,0.24,1939,42
29039,KS,KANSAS,SMALLPOX,0,0.0,1939,42
29040,KY,KENTUCKY,SMALLPOX,0,0.0,1939,42
29041,LA,LOUISIANA,SMALLPOX,0,0.0,1939,42
29042,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1939,42
29043,MD,MARYLAND,SMALLPOX,0,0.0,1939,42
29044,ME,MAINE,SMALLPOX,0,0.0,1939,42
29045,MI,MICHIGAN,SMALLPOX,1,0.02,1939,42
29046,MN,MINNESOTA,SMALLPOX,1,0.04,1939,42
29047,MO,MISSOURI,SMALLPOX,1,0.03,1939,42
29048,MS,MISSISSIPPI,SMALLPOX,0,0.0,1939,42
29049,MT,MONTANA,SMALLPOX,0,0.0,1939,42
29050,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1939,42
29051,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1939,42
29052,NE,NEBRASKA,SMALLPOX,1,0.08,1939,42
29053,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1939,42
29054,NJ,NEW JERSEY,SMALLPOX,0,0.0,1939,42
29055,NM,NEW MEXICO,SMALLPOX,0,0.0,1939,42
29056,NY,NEW YORK,SMALLPOX,0,0.0,1939,42
29057,OH,OHIO,SMALLPOX,1,0.01,1939,42
29058,OK,OKLAHOMA,SMALLPOX,1,0.04,1939,42
29059,OR,OREGON,SMALLPOX,0,0.0,1939,42
29060,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1939,42
29061,RI,RHODE ISLAND,SMALLPOX,0,0.0,1939,42
29062,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1939,42
29063,SD,SOUTH DAKOTA,SMALLPOX,0,0.0,1939,42
29064,TN,TENNESSEE,SMALLPOX,0,0.0,1939,42
29065,TX,TEXAS,SMALLPOX,0,0.0,1939,42
29066,UT,UTAH,SMALLPOX,0,0.0,1939,42
29067,VA,VIRGINIA,SMALLPOX,0,0.0,1939,42
29068,VT,VERMONT,SMALLPOX,0,0.0,1939,42
29069,WA,WASHINGTON,SMALLPOX,1,0.06,1939,42
29070,WI,WISCONSIN,SMALLPOX,1,0.03,1939,42
29071,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1939,42
29072,WY,WYOMING,SMALLPOX,2,0.81,1939,42
29073,AL,ALABAMA,SMALLPOX,0,0.0,1939,43
29074,AR,ARKANSAS,SMALLPOX,0,0.0,1939,43
29075,AZ,ARIZONA,SMALLPOX,1,0.1,1939,43
29076,CA,CALIFORNIA,SMALLPOX,6,0.08,1939,43
29077,CO,COLORADO,SMALLPOX,7,0.62,1939,43
29078,CT,CONNECTICUT,SMALLPOX,0,0.0,1939,43
29079,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1939,43
29080,DE,DELAWARE,SMALLPOX,0,0.0,1939,43
29081,FL,FLORIDA,SMALLPOX,0,0.0,1939,43
29082,GA,GEORGIA,SMALLPOX,0,0.0,1939,43
29083,IA,IOWA,SMALLPOX,4,0.14,1939,43
29084,ID,IDAHO,SMALLPOX,2,0.29,1939,43
29085,IL,ILLINOIS,SMALLPOX,2,0.02,1939,43
29086,IN,INDIANA,SMALLPOX,3,0.07,1939,43
29087,KS,KANSAS,SMALLPOX,0,0.0,1939,43
29088,KY,KENTUCKY,SMALLPOX,0,0.0,1939,43
29089,LA,LOUISIANA,SMALLPOX,0,0.0,1939,43
29090,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1939,43
29091,MD,MARYLAND,SMALLPOX,0,0.0,1939,43
29092,ME,MAINE,SMALLPOX,0,0.0,1939,43
29093,MI,MICHIGAN,SMALLPOX,7,0.14,1939,43
29094,MN,MINNESOTA,SMALLPOX,4,0.14,1939,43
29095,MO,MISSOURI,SMALLPOX,1,0.01,1939,43
29096,MS,MISSISSIPPI,SMALLPOX,0,0.0,1939,43
29097,MT,MONTANA,SMALLPOX,5,0.81,1939,43
29098,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1939,43
29099,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1939,43
29100,NE,NEBRASKA,SMALLPOX,1,0.04,1939,43
29101,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1939,43
29102,NJ,NEW JERSEY,SMALLPOX,0,0.0,1939,43
29103,NM,NEW MEXICO,SMALLPOX,0,0.0,1939,43
29104,NY,NEW YORK,SMALLPOX,0,0.0,1939,43
29105,OH,OHIO,SMALLPOX,0,0.0,1939,43
29106,OK,OKLAHOMA,SMALLPOX,3,0.11,1939,43
29107,OR,OREGON,SMALLPOX,4,0.37,1939,43
29108,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1939,43
29109,RI,RHODE ISLAND,SMALLPOX,0,0.0,1939,43
29110,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1939,43
29111,SD,SOUTH DAKOTA,SMALLPOX,0,0.0,1939,43
29112,TN,TENNESSEE,SMALLPOX,0,0.0,1939,43
29113,TX,TEXAS,SMALLPOX,4,0.06,1939,43
29114,UT,UTAH,SMALLPOX,0,0.0,1939,43
29115,VA,VIRGINIA,SMALLPOX,0,0.0,1939,43
29116,VT,VERMONT,SMALLPOX,0,0.0,1939,43
29117,WA,WASHINGTON,SMALLPOX,2,0.09,1939,43
29118,WI,WISCONSIN,SMALLPOX,0,0.0,1939,43
29119,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1939,43
29120,WY,WYOMING,SMALLPOX,1,0.2,1939,43
29121,AL,ALABAMA,SMALLPOX,0,0.0,1939,44
29122,AR,ARKANSAS,SMALLPOX,4,0.21,1939,44
29123,AZ,ARIZONA,SMALLPOX,0,0.0,1939,44
29124,CA,CALIFORNIA,SMALLPOX,5,0.07,1939,44
29125,CO,COLORADO,SMALLPOX,6,0.54,1939,44
29126,CT,CONNECTICUT,SMALLPOX,0,0.0,1939,44
29127,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1939,44
29128,DE,DELAWARE,SMALLPOX,0,0.0,1939,44
29129,FL,FLORIDA,SMALLPOX,0,0.0,1939,44
29130,GA,GEORGIA,SMALLPOX,0,0.0,1939,44
29131,IA,IOWA,SMALLPOX,8,0.32,1939,44
29132,ID,IDAHO,SMALLPOX,1,0.19,1939,44
29133,IL,ILLINOIS,SMALLPOX,2,0.03,1939,44
29134,IN,INDIANA,SMALLPOX,3,0.09,1939,44
29135,KS,KANSAS,SMALLPOX,1,0.05,1939,44
29136,KY,KENTUCKY,SMALLPOX,0,0.0,1939,44
29137,LA,LOUISIANA,SMALLPOX,0,0.0,1939,44
29138,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1939,44
29139,MD,MARYLAND,SMALLPOX,0,0.0,1939,44
29140,ME,MAINE,SMALLPOX,0,0.0,1939,44
29141,MI,MICHIGAN,SMALLPOX,0,0.0,1939,44
29142,MN,MINNESOTA,SMALLPOX,3,0.11,1939,44
29143,MO,MISSOURI,SMALLPOX,0,0.0,1939,44
29144,MS,MISSISSIPPI,SMALLPOX,0,0.0,1939,44
29145,MT,MONTANA,SMALLPOX,0,0.0,1939,44
29146,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1939,44
29147,ND,NORTH DAKOTA,SMALLPOX,4,0.62,1939,44
29148,NE,NEBRASKA,SMALLPOX,1,0.08,1939,44
29149,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1939,44
29150,NJ,NEW JERSEY,SMALLPOX,0,0.0,1939,44
29151,NM,NEW MEXICO,SMALLPOX,0,0.0,1939,44
29152,NY,NEW YORK,SMALLPOX,0,0.0,1939,44
29153,OH,OHIO,SMALLPOX,2,0.03,1939,44
29154,OK,OKLAHOMA,SMALLPOX,5,0.21,1939,44
29155,OR,OREGON,SMALLPOX,1,0.09,1939,44
29156,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1939,44
29157,RI,RHODE ISLAND,SMALLPOX,0,0.0,1939,44
29158,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1939,44
29159,SD,SOUTH DAKOTA,SMALLPOX,1,0.16,1939,44
29160,TN,TENNESSEE,SMALLPOX,6,0.21,1939,44
29161,TX,TEXAS,SMALLPOX,2,0.03,1939,44
29162,UT,UTAH,SMALLPOX,0,0.0,1939,44
29163,VA,VIRGINIA,SMALLPOX,0,0.0,1939,44
29164,VT,VERMONT,SMALLPOX,0,0.0,1939,44
29165,WA,WASHINGTON,SMALLPOX,0,0.0,1939,44
29166,WI,WISCONSIN,SMALLPOX,0,0.0,1939,44
29167,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1939,44
29168,WY,WYOMING,SMALLPOX,0,0.0,1939,44
29169,AL,ALABAMA,SMALLPOX,0,0.0,1939,45
29170,AR,ARKANSAS,SMALLPOX,0,0.0,1939,45
29171,AZ,ARIZONA,SMALLPOX,0,0.0,1939,45
29172,CA,CALIFORNIA,SMALLPOX,0,0.0,1939,45
29173,CO,COLORADO,SMALLPOX,3,0.27,1939,45
29174,CT,CONNECTICUT,SMALLPOX,0,0.0,1939,45
29175,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1939,45
29176,DE,DELAWARE,SMALLPOX,0,0.0,1939,45
29177,FL,FLORIDA,SMALLPOX,0,0.0,1939,45
29178,GA,GEORGIA,SMALLPOX,0,0.0,1939,45
29179,IA,IOWA,SMALLPOX,6,0.24,1939,45
29180,ID,IDAHO,SMALLPOX,0,0.0,1939,45
29181,IL,ILLINOIS,SMALLPOX,0,0.0,1939,45
29182,IN,INDIANA,SMALLPOX,1,0.03,1939,45
29183,KS,KANSAS,SMALLPOX,1,0.05,1939,45
29184,KY,KENTUCKY,SMALLPOX,0,0.0,1939,45
29185,LA,LOUISIANA,SMALLPOX,2,0.09,1939,45
29186,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1939,45
29187,MD,MARYLAND,SMALLPOX,0,0.0,1939,45
29188,ME,MAINE,SMALLPOX,0,0.0,1939,45
29189,MI,MICHIGAN,SMALLPOX,15,0.29,1939,45
29190,MN,MINNESOTA,SMALLPOX,2,0.07,1939,45
29191,MO,MISSOURI,SMALLPOX,0,0.0,1939,45
29192,MS,MISSISSIPPI,SMALLPOX,0,0.0,1939,45
29193,MT,MONTANA,SMALLPOX,0,0.0,1939,45
29194,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1939,45
29195,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1939,45
29196,NE,NEBRASKA,SMALLPOX,1,0.08,1939,45
29197,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1939,45
29198,NJ,NEW JERSEY,SMALLPOX,0,0.0,1939,45
29199,NM,NEW MEXICO,SMALLPOX,0,0.0,1939,45
29200,NY,NEW YORK,SMALLPOX,0,0.0,1939,45
29201,OH,OHIO,SMALLPOX,0,0.0,1939,45
29202,OK,OKLAHOMA,SMALLPOX,1,0.04,1939,45
29203,OR,OREGON,SMALLPOX,0,0.0,1939,45
29204,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1939,45
29205,RI,RHODE ISLAND,SMALLPOX,0,0.0,1939,45
29206,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1939,45
29207,SD,SOUTH DAKOTA,SMALLPOX,1,0.16,1939,45
29208,TN,TENNESSEE,SMALLPOX,0,0.0,1939,45
29209,TX,TEXAS,SMALLPOX,0,0.0,1939,45
29210,UT,UTAH,SMALLPOX,0,0.0,1939,45
29211,VA,VIRGINIA,SMALLPOX,0,0.0,1939,45
29212,VT,VERMONT,SMALLPOX,0,0.0,1939,45
29213,WA,WASHINGTON,SMALLPOX,0,0.0,1939,45
29214,WI,WISCONSIN,SMALLPOX,3,0.1,1939,45
29215,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1939,45
29216,WY,WYOMING,SMALLPOX,0,0.0,1939,45
29217,AL,ALABAMA,SMALLPOX,1,0.04,1939,46
29218,AR,ARKANSAS,SMALLPOX,0,0.02,1939,46
29219,AZ,ARIZONA,SMALLPOX,0,0.07,1939,46
29220,CA,CALIFORNIA,SMALLPOX,1,0.02,1939,46
29221,CO,COLORADO,SMALLPOX,2,0.21,1939,46
29222,CT,CONNECTICUT,SMALLPOX,0,0.0,1939,46
29223,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1939,46
29224,DE,DELAWARE,SMALLPOX,0,0.0,1939,46
29225,FL,FLORIDA,SMALLPOX,0,0.0,1939,46
29226,GA,GEORGIA,SMALLPOX,1,0.03,1939,46
29227,IA,IOWA,SMALLPOX,17,0.67,1939,46
29228,ID,IDAHO,SMALLPOX,4,0.7,1939,46
29229,IL,ILLINOIS,SMALLPOX,1,0.02,1939,46
29230,IN,INDIANA,SMALLPOX,4,0.12,1939,46
29231,KS,KANSAS,SMALLPOX,2,0.13,1939,46
29232,KY,KENTUCKY,SMALLPOX,3,0.12,1939,46
29233,LA,LOUISIANA,SMALLPOX,0,0.0,1939,46
29234,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1939,46
29235,MD,MARYLAND,SMALLPOX,0,0.0,1939,46
29236,ME,MAINE,SMALLPOX,0,0.0,1939,46
29237,MI,MICHIGAN,SMALLPOX,12,0.23,1939,46
29238,MN,MINNESOTA,SMALLPOX,14,0.51,1939,46
29239,MO,MISSOURI,SMALLPOX,15,0.41,1939,46
29240,MS,MISSISSIPPI,SMALLPOX,0,0.0,1939,46
29241,MT,MONTANA,SMALLPOX,1,0.12,1939,46
29242,NC,NORTH CAROLINA,SMALLPOX,1,0.02,1939,46
29243,ND,NORTH DAKOTA,SMALLPOX,4,0.62,1939,46
29244,NE,NEBRASKA,SMALLPOX,0,0.0,1939,46
29245,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1939,46
29246,NJ,NEW JERSEY,SMALLPOX,0,0.0,1939,46
29247,NM,NEW MEXICO,SMALLPOX,0,0.0,1939,46
29248,NY,NEW YORK,SMALLPOX,0,0.0,1939,46
29249,OH,OHIO,SMALLPOX,2,0.02,1939,46
29250,OK,OKLAHOMA,SMALLPOX,3,0.14,1939,46
29251,OR,OREGON,SMALLPOX,3,0.25,1939,46
29252,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1939,46
29253,RI,RHODE ISLAND,SMALLPOX,0,0.0,1939,46
29254,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1939,46
29255,SD,SOUTH DAKOTA,SMALLPOX,6,0.88,1939,46
29256,TN,TENNESSEE,SMALLPOX,0,0.01,1939,46
29257,TX,TEXAS,SMALLPOX,0,0.0,1939,46
29258,UT,UTAH,SMALLPOX,0,0.06,1939,46
29259,VA,VIRGINIA,SMALLPOX,0,0.0,1939,46
29260,VT,VERMONT,SMALLPOX,0,0.0,1939,46
29261,WA,WASHINGTON,SMALLPOX,2,0.1,1939,46
29262,WI,WISCONSIN,SMALLPOX,3,0.11,1939,46
29263,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1939,46
29264,WY,WYOMING,SMALLPOX,8,3.09,1939,46
29265,AL,ALABAMA,SMALLPOX,0,0.0,1939,47
29266,AR,ARKANSAS,SMALLPOX,0,0.0,1939,47
29267,AZ,ARIZONA,SMALLPOX,0,0.0,1939,47
29268,CA,CALIFORNIA,SMALLPOX,2,0.03,1939,47
29269,CO,COLORADO,SMALLPOX,1,0.09,1939,47
29270,CT,CONNECTICUT,SMALLPOX,0,0.0,1939,47
29271,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1939,47
29272,DE,DELAWARE,SMALLPOX,0,0.0,1939,47
29273,FL,FLORIDA,SMALLPOX,0,0.0,1939,47
29274,GA,GEORGIA,SMALLPOX,0,0.0,1939,47
29275,IA,IOWA,SMALLPOX,2,0.08,1939,47
29276,ID,IDAHO,SMALLPOX,0,0.0,1939,47
29277,IL,ILLINOIS,SMALLPOX,0,0.0,1939,47
29278,IN,INDIANA,SMALLPOX,3,0.09,1939,47
29279,KS,KANSAS,SMALLPOX,0,0.0,1939,47
29280,KY,KENTUCKY,SMALLPOX,0,0.0,1939,47
29281,LA,LOUISIANA,SMALLPOX,0,0.0,1939,47
29282,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1939,47
29283,MD,MARYLAND,SMALLPOX,0,0.0,1939,47
29284,ME,MAINE,SMALLPOX,0,0.0,1939,47
29285,MI,MICHIGAN,SMALLPOX,3,0.06,1939,47
29286,MN,MINNESOTA,SMALLPOX,21,0.76,1939,47
29287,MO,MISSOURI,SMALLPOX,0,0.0,1939,47
29288,MS,MISSISSIPPI,SMALLPOX,0,0.0,1939,47
29289,MT,MONTANA,SMALLPOX,0,0.0,1939,47
29290,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1939,47
29291,ND,NORTH DAKOTA,SMALLPOX,0,0.0,1939,47
29292,NE,NEBRASKA,SMALLPOX,0,0.0,1939,47
29293,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1939,47
29294,NJ,NEW JERSEY,SMALLPOX,0,0.0,1939,47
29295,NM,NEW MEXICO,SMALLPOX,0,0.0,1939,47
29296,NY,NEW YORK,SMALLPOX,0,0.0,1939,47
29297,OH,OHIO,SMALLPOX,0,0.0,1939,47
29298,OK,OKLAHOMA,SMALLPOX,5,0.21,1939,47
29299,OR,OREGON,SMALLPOX,0,0.0,1939,47
29300,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1939,47
29301,RI,RHODE ISLAND,SMALLPOX,0,0.0,1939,47
29302,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1939,47
29303,SD,SOUTH DAKOTA,SMALLPOX,2,0.31,1939,47
29304,TN,TENNESSEE,SMALLPOX,0,0.0,1939,47
29305,TX,TEXAS,SMALLPOX,10,0.16,1939,47
29306,UT,UTAH,SMALLPOX,1,0.18,1939,47
29307,VA,VIRGINIA,SMALLPOX,0,0.0,1939,47
29308,VT,VERMONT,SMALLPOX,0,0.0,1939,47
29309,WA,WASHINGTON,SMALLPOX,3,0.17,1939,47
29310,WI,WISCONSIN,SMALLPOX,7,0.22,1939,47
29311,WV,WEST VIRGINIA,SMALLPOX,0,0.0,1939,47
29312,WY,WYOMING,SMALLPOX,0,0.0,1939,47
29313,AL,ALABAMA,SMALLPOX,0,0.0,1939,48
29314,AR,ARKANSAS,SMALLPOX,0,0.0,1939,48
29315,AZ,ARIZONA,SMALLPOX,0,0.0,1939,48
29316,CA,CALIFORNIA,SMALLPOX,0,0.0,1939,48
29317,CO,COLORADO,SMALLPOX,4,0.36,1939,48
29318,CT,CONNECTICUT,SMALLPOX,0,0.0,1939,48
29319,DC,DISTRICT OF COLUMBIA,SMALLPOX,0,0.0,1939,48
29320,DE,DELAWARE,SMALLPOX,0,0.0,1939,48
29321,FL,FLORIDA,SMALLPOX,0,0.0,1939,48
29322,GA,GEORGIA,SMALLPOX,1,0.02,1939,48
29323,IA,IOWA,SMALLPOX,11,0.44,1939,48
29324,ID,IDAHO,SMALLPOX,4,0.77,1939,48
29325,IL,ILLINOIS,SMALLPOX,1,0.01,1939,48
29326,IN,INDIANA,SMALLPOX,26,0.75,1939,48
29327,KS,KANSAS,SMALLPOX,1,0.03,1939,48
29328,KY,KENTUCKY,SMALLPOX,0,0.0,1939,48
29329,LA,LOUISIANA,SMALLPOX,0,0.0,1939,48
29330,MA,MASSACHUSETTS,SMALLPOX,0,0.0,1939,48
29331,MD,MARYLAND,SMALLPOX,0,0.0,1939,48
29332,ME,MAINE,SMALLPOX,0,0.0,1939,48
29333,MI,MICHIGAN,SMALLPOX,7,0.14,1939,48
29334,MN,MINNESOTA,SMALLPOX,11,0.38,1939,48
29335,MO,MISSOURI,SMALLPOX,13,0.33,1939,48
29336,MS,MISSISSIPPI,SMALLPOX,0,0.0,1939,48
29337,MT,MONTANA,SMALLPOX,1,0.09,1939,48
29338,NC,NORTH CAROLINA,SMALLPOX,0,0.0,1939,48
29339,ND,NORTH DAKOTA,SMALLPOX,2,0.31,1939,48
29340,NE,NEBRASKA,SMALLPOX,1,0.04,1939,48
29341,NH,NEW HAMPSHIRE,SMALLPOX,0,0.0,1939,48
29342,NJ,NEW JERSEY,SMALLPOX,0,0.0,1939,48
29343,NM,NEW MEXICO,SMALLPOX,1,0.1,1939,48
29344,NY,NEW YORK,SMALLPOX,0,0.0,1939,48
29345,OH,OHIO,SMALLPOX,3,0.04,1939,48
29346,OK,OKLAHOMA,SMALLPOX,9,0.39,1939,48
29347,OR,OREGON,SMALLPOX,1,0.05,1939,48
29348,PA,PENNSYLVANIA,SMALLPOX,0,0.0,1939,48
29349,RI,RHODE ISLAND,SMALLPOX,0,0.0,1939,48
29350,SC,SOUTH CAROLINA,SMALLPOX,0,0.0,1939,48
29351,SD,SOUTH DAKOTA,SMALLPOX,1,0.08,1939,48
29352,TN,TENNESSEE,SMALLPOX,0,0.0,1939,48
29353,TX,TEXAS,SMALLPOX,5,0.07,1939,48
29354,UT,UTAH,SMALLPOX,1,0.09,1939,48
29355,VA,VIRGINIA,SMALLPOX,0,0.0,1939,48
29356,VT,VERMONT,SMALLPOX,0,0.0,1939,48
