,state,State Name,disease,Number of Rubella Cases,"Rubella Incidence Per 100,000 People",year,number_week
149,WV,WEST VIRGINIA,RUBELLA,40,2.25,1966,05
150,WY,WYOMING,RUBELLA,1,0.31,1966,05
151,AK,ALASKA,RUBELLA,5,1.85,1966,06
152,AL,ALABAMA,RUBELLA,1,0.03,1966,06
153,AR,ARKANSAS,RUBELLA,1,0.05,1966,06
154,AZ,ARIZONA,RUBELLA,127,7.87,1966,06
155,CA,CALIFORNIA,RUBELLA,104,0.55,1966,06
156,CO,COLORADO,RUBELLA,13,0.65,1966,06
157,CT,CONNECTICUT,RUBELLA,44,1.52,1966,06
158,DE,DELAWARE,RUBELLA,3,0.58,1966,06
159,FL,FLORIDA,RUBELLA,11,0.18,1966,06
160,HI,HAWAII,RUBELLA,9,1.27,1966,06
161,IA,IOWA,RUBELLA,56,2.03,1966,06
162,ID,IDAHO,RUBELLA,56,8.13,1966,06
163,IL,ILLINOIS,RUBELLA,24,0.22,1966,06
164,IN,INDIANA,RUBELLA,31,0.62,1966,06
165,KY,KENTUCKY,RUBELLA,142,4.51,1966,06
166,MA,MASSACHUSETTS,RUBELLA,93,1.68,1966,06
167,MD,MARYLAND,RUBELLA,6,0.16,1966,06
168,ME,MAINE,RUBELLA,2,0.2,1966,06
169,MI,MICHIGAN,RUBELLA,117,1.37,1966,06
170,MN,MINNESOTA,RUBELLA,8,0.22,1966,06
171,MT,MONTANA,RUBELLA,3,0.42,1966,06
172,ND,NORTH DAKOTA,RUBELLA,8,1.24,1966,06
173,NH,NEW HAMPSHIRE,RUBELLA,5,0.73,1966,06
174,NY,NEW YORK,RUBELLA,76,0.43,1966,06
175,OH,OHIO,RUBELLA,29,0.28,1966,06
176,OR,OREGON,RUBELLA,28,1.42,1966,06
177,RI,RHODE ISLAND,RUBELLA,9,1.0,1966,06
178,SC,SOUTH CAROLINA,RUBELLA,1,0.04,1966,06
179,TN,TENNESSEE,RUBELLA,47,1.23,1966,06
180,UT,UTAH,RUBELLA,2,0.2,1966,06
181,VA,VIRGINIA,RUBELLA,3,0.07,1966,06
182,VT,VERMONT,RUBELLA,7,1.69,1966,06
183,WA,WASHINGTON,RUBELLA,108,3.53,1966,06
184,WI,WISCONSIN,RUBELLA,141,3.3,1966,06
185,WV,WEST VIRGINIA,RUBELLA,17,0.96,1966,06
186,AK,ALASKA,RUBELLA,1,0.37,1966,07
187,AL,ALABAMA,RUBELLA,1,0.03,1966,07
188,AZ,ARIZONA,RUBELLA,101,6.26,1966,07
189,CA,CALIFORNIA,RUBELLA,74,0.39,1966,07
190,CO,COLORADO,RUBELLA,16,0.8,1966,07
191,CT,CONNECTICUT,RUBELLA,44,1.52,1966,07
192,DE,DELAWARE,RUBELLA,2,0.39,1966,07
193,FL,FLORIDA,RUBELLA,7,0.11,1966,07
194,HI,HAWAII,RUBELLA,2,0.28,1966,07
195,IA,IOWA,RUBELLA,43,1.56,1966,07
