,state,State Name,disease,Number of Rubella Cases,"Rubella Incidence Per 100,000 People",year,number_week
31636,MT,MONTANA,RUBELLA,1,0.13,1980,28
31637,NC,NORTH CAROLINA,RUBELLA,0,0.0,1980,28
31638,ND,NORTH DAKOTA,RUBELLA,0,0.0,1980,28
31639,NE,NEBRASKA,RUBELLA,1,0.06,1980,28
31640,NH,NEW HAMPSHIRE,RUBELLA,1,0.11,1980,28
31641,NJ,NEW JERSEY,RUBELLA,0,0.0,1980,28
31642,NM,NEW MEXICO,RUBELLA,0,0.0,1980,28
31643,NV,NEVADA,RUBELLA,0,0.0,1980,28
31644,NY,NEW YORK,RUBELLA,0,0.0,1980,28
31645,OH,OHIO,RUBELLA,2,0.02,1980,28
31646,OK,OKLAHOMA,RUBELLA,0,0.0,1980,28
31647,OR,OREGON,RUBELLA,2,0.07,1980,28
31648,PA,PENNSYLVANIA,RUBELLA,0,0.0,1980,28
31649,RI,RHODE ISLAND,RUBELLA,0,0.0,1980,28
31650,SC,SOUTH CAROLINA,RUBELLA,0,0.0,1980,28
31651,TN,TENNESSEE,RUBELLA,1,0.02,1980,28
31652,TX,TEXAS,RUBELLA,6,0.04,1980,28
31653,UT,UTAH,RUBELLA,0,0.0,1980,28
31654,VA,VIRGINIA,RUBELLA,1,0.02,1980,28
31655,VT,VERMONT,RUBELLA,0,0.0,1980,28
31656,WA,WASHINGTON,RUBELLA,0,0.0,1980,28
31657,WI,WISCONSIN,RUBELLA,4,0.08,1980,28
31658,WY,WYOMING,RUBELLA,1,0.2,1980,28
31659,AK,ALASKA,RUBELLA,0,0.0,1980,29
31660,AL,ALABAMA,RUBELLA,0,0.0,1980,29
31661,AR,ARKANSAS,RUBELLA,0,0.0,1980,29
31662,AZ,ARIZONA,RUBELLA,1,0.04,1980,29
31663,CA,CALIFORNIA,RUBELLA,3,0.01,1980,29
31664,CO,COLORADO,RUBELLA,1,0.03,1980,29
31665,CT,CONNECTICUT,RUBELLA,0,0.0,1980,29
31666,DE,DELAWARE,RUBELLA,0,0.0,1980,29
31667,FL,FLORIDA,RUBELLA,1,0.01,1980,29
31668,HI,HAWAII,RUBELLA,1,0.1,1980,29
31669,IA,IOWA,RUBELLA,2,0.07,1980,29
31670,ID,IDAHO,RUBELLA,0,0.0,1980,29
31671,IL,ILLINOIS,RUBELLA,1,0.01,1980,29
31672,IN,INDIANA,RUBELLA,3,0.05,1980,29
31673,KS,KANSAS,RUBELLA,0,0.0,1980,29
31674,KY,KENTUCKY,RUBELLA,0,0.0,1980,29
31675,LA,LOUISIANA,RUBELLA,0,0.0,1980,29
31676,MA,MASSACHUSETTS,RUBELLA,0,0.0,1980,29
31677,MD,MARYLAND,RUBELLA,0,0.0,1980,29
31678,ME,MAINE,RUBELLA,0,0.0,1980,29
31679,MI,MICHIGAN,RUBELLA,0,0.0,1980,29
31680,MN,MINNESOTA,RUBELLA,0,0.0,1980,29
31681,MO,MISSOURI,RUBELLA,0,0.0,1980,29
31682,MS,MISSISSIPPI,RUBELLA,0,0.0,1980,29
31683,MT,MONTANA,RUBELLA,1,0.13,1980,29
31684,NC,NORTH CAROLINA,RUBELLA,0,0.0,1980,29
31685,ND,NORTH DAKOTA,RUBELLA,0,0.0,1980,29
31686,NE,NEBRASKA,RUBELLA,0,0.0,1980,29
31687,NH,NEW HAMPSHIRE,RUBELLA,0,0.0,1980,29
31688,NJ,NEW JERSEY,RUBELLA,8,0.11,1980,29
31689,NM,NEW MEXICO,RUBELLA,0,0.0,1980,29
31690,NV,NEVADA,RUBELLA,1,0.12,1980,29
31691,NY,NEW YORK,RUBELLA,9,0.05,1980,29
31692,OH,OHIO,RUBELLA,0,0.0,1980,29
31693,OK,OKLAHOMA,RUBELLA,0,0.0,1980,29
31694,OR,OREGON,RUBELLA,0,0.0,1980,29
31695,PA,PENNSYLVANIA,RUBELLA,0,0.0,1980,29
31696,RI,RHODE ISLAND,RUBELLA,0,0.0,1980,29
31697,SC,SOUTH CAROLINA,RUBELLA,0,0.0,1980,29
31698,TN,TENNESSEE,RUBELLA,0,0.0,1980,29
31699,TX,TEXAS,RUBELLA,0,0.0,1980,29
31700,UT,UTAH,RUBELLA,0,0.0,1980,29
31701,VA,VIRGINIA,RUBELLA,0,0.0,1980,29
31702,VT,VERMONT,RUBELLA,0,0.0,1980,29
31703,WA,WASHINGTON,RUBELLA,0,0.0,1980,29
31704,WI,WISCONSIN,RUBELLA,4,0.08,1980,29
31705,WV,WEST VIRGINIA,RUBELLA,2,0.1,1980,29
31706,WY,WYOMING,RUBELLA,0,0.0,1980,29
31707,AK,ALASKA,RUBELLA,0,0.0,1980,30
31708,AL,ALABAMA,RUBELLA,0,0.0,1980,30
31709,AR,ARKANSAS,RUBELLA,0,0.0,1980,30
31710,AZ,ARIZONA,RUBELLA,0,0.0,1980,30
31711,CA,CALIFORNIA,RUBELLA,11,0.05,1980,30
31712,CO,COLORADO,RUBELLA,1,0.03,1980,30
31713,CT,CONNECTICUT,RUBELLA,2,0.06,1980,30
31714,DE,DELAWARE,RUBELLA,0,0.0,1980,30
31715,FL,FLORIDA,RUBELLA,4,0.04,1980,30
31716,HI,HAWAII,RUBELLA,0,0.0,1980,30
31717,IA,IOWA,RUBELLA,0,0.0,1980,30
31718,ID,IDAHO,RUBELLA,0,0.0,1980,30
31719,IL,ILLINOIS,RUBELLA,0,0.0,1980,30
31720,IN,INDIANA,RUBELLA,2,0.04,1980,30
31721,KS,KANSAS,RUBELLA,1,0.04,1980,30
31722,KY,KENTUCKY,RUBELLA,0,0.0,1980,30
31723,LA,LOUISIANA,RUBELLA,0,0.0,1980,30
31724,MA,MASSACHUSETTS,RUBELLA,0,0.0,1980,30
31725,MD,MARYLAND,RUBELLA,0,0.0,1980,30
31726,ME,MAINE,RUBELLA,0,0.0,1980,30
31727,MI,MICHIGAN,RUBELLA,0,0.0,1980,30
31728,MN,MINNESOTA,RUBELLA,0,0.0,1980,30
31729,MO,MISSOURI,RUBELLA,2,0.04,1980,30
31730,MS,MISSISSIPPI,RUBELLA,1,0.04,1980,30
31731,MT,MONTANA,RUBELLA,1,0.13,1980,30
31732,NC,NORTH CAROLINA,RUBELLA,1,0.02,1980,30
31733,ND,NORTH DAKOTA,RUBELLA,0,0.0,1980,30
31734,NE,NEBRASKA,RUBELLA,0,0.0,1980,30
31735,NH,NEW HAMPSHIRE,RUBELLA,1,0.11,1980,30
31736,NJ,NEW JERSEY,RUBELLA,20,0.27,1980,30
31737,NM,NEW MEXICO,RUBELLA,0,0.0,1980,30
31738,NV,NEVADA,RUBELLA,0,0.0,1980,30
31739,NY,NEW YORK,RUBELLA,2,0.01,1980,30
31740,OH,OHIO,RUBELLA,0,0.0,1980,30
31741,OK,OKLAHOMA,RUBELLA,0,0.0,1980,30
31742,OR,OREGON,RUBELLA,0,0.0,1980,30
31743,PA,PENNSYLVANIA,RUBELLA,0,0.0,1980,30
31744,RI,RHODE ISLAND,RUBELLA,0,0.0,1980,30
31745,SC,SOUTH CAROLINA,RUBELLA,0,0.0,1980,30
31746,TN,TENNESSEE,RUBELLA,0,0.0,1980,30
31747,TX,TEXAS,RUBELLA,1,0.01,1980,30
31748,UT,UTAH,RUBELLA,0,0.0,1980,30
31749,VA,VIRGINIA,RUBELLA,1,0.02,1980,30
31750,VT,VERMONT,RUBELLA,0,0.0,1980,30
31751,WA,WASHINGTON,RUBELLA,2,0.05,1980,30
31752,WI,WISCONSIN,RUBELLA,0,0.0,1980,30
31753,WV,WEST VIRGINIA,RUBELLA,0,0.0,1980,30
31754,WY,WYOMING,RUBELLA,0,0.0,1980,30
31755,AK,ALASKA,RUBELLA,0,0.0,1980,31
31756,AL,ALABAMA,RUBELLA,0,0.0,1980,31
31757,AR,ARKANSAS,RUBELLA,1,0.04,1980,31
31758,AZ,ARIZONA,RUBELLA,0,0.0,1980,31
31759,CA,CALIFORNIA,RUBELLA,3,0.01,1980,31
31760,CO,COLORADO,RUBELLA,0,0.0,1980,31
31761,CT,CONNECTICUT,RUBELLA,0,0.0,1980,31
31762,DE,DELAWARE,RUBELLA,0,0.0,1980,31
31763,FL,FLORIDA,RUBELLA,2,0.02,1980,31
31764,HI,HAWAII,RUBELLA,0,0.0,1980,31
31765,IA,IOWA,RUBELLA,0,0.0,1980,31
31766,ID,IDAHO,RUBELLA,1,0.1,1980,31
31767,IL,ILLINOIS,RUBELLA,0,0.0,1980,31
31768,IN,INDIANA,RUBELLA,3,0.05,1980,31
31769,KS,KANSAS,RUBELLA,0,0.0,1980,31
31770,KY,KENTUCKY,RUBELLA,0,0.0,1980,31
31771,LA,LOUISIANA,RUBELLA,1,0.02,1980,31
31772,MA,MASSACHUSETTS,RUBELLA,0,0.0,1980,31
31773,MD,MARYLAND,RUBELLA,0,0.0,1980,31
31774,ME,MAINE,RUBELLA,0,0.0,1980,31
31775,MI,MICHIGAN,RUBELLA,2,0.02,1980,31
31776,MN,MINNESOTA,RUBELLA,0,0.0,1980,31
31777,MO,MISSOURI,RUBELLA,2,0.04,1980,31
31778,MS,MISSISSIPPI,RUBELLA,0,0.0,1980,31
31779,MT,MONTANA,RUBELLA,2,0.25,1980,31
31780,NC,NORTH CAROLINA,RUBELLA,1,0.02,1980,31
31781,ND,NORTH DAKOTA,RUBELLA,0,0.0,1980,31
31782,NE,NEBRASKA,RUBELLA,0,0.0,1980,31
31783,NH,NEW HAMPSHIRE,RUBELLA,0,0.0,1980,31
31784,NJ,NEW JERSEY,RUBELLA,1,0.01,1980,31
31785,NM,NEW MEXICO,RUBELLA,0,0.0,1980,31
31786,NV,NEVADA,RUBELLA,0,0.0,1980,31
31787,NY,NEW YORK,RUBELLA,10,0.06,1980,31
31788,OK,OKLAHOMA,RUBELLA,0,0.0,1980,31
31789,OR,OREGON,RUBELLA,0,0.0,1980,31
31790,PA,PENNSYLVANIA,RUBELLA,0,0.0,1980,31
31791,RI,RHODE ISLAND,RUBELLA,0,0.0,1980,31
31792,SC,SOUTH CAROLINA,RUBELLA,0,0.0,1980,31
31793,TN,TENNESSEE,RUBELLA,0,0.0,1980,31
31794,TX,TEXAS,RUBELLA,1,0.01,1980,31
31795,UT,UTAH,RUBELLA,1,0.07,1980,31
31796,VA,VIRGINIA,RUBELLA,0,0.0,1980,31
31797,VT,VERMONT,RUBELLA,0,0.0,1980,31
31798,WA,WASHINGTON,RUBELLA,0,0.0,1980,31
31799,WI,WISCONSIN,RUBELLA,2,0.04,1980,31
31800,WV,WEST VIRGINIA,RUBELLA,0,0.0,1980,31
31801,WY,WYOMING,RUBELLA,0,0.0,1980,31
31802,AK,ALASKA,RUBELLA,0,0.0,1980,32
31803,AL,ALABAMA,RUBELLA,0,0.0,1980,32
31804,AR,ARKANSAS,RUBELLA,0,0.0,1980,32
31805,AZ,ARIZONA,RUBELLA,0,0.0,1980,32
31806,CA,CALIFORNIA,RUBELLA,8,0.03,1980,32
31807,CO,COLORADO,RUBELLA,0,0.0,1980,32
31808,CT,CONNECTICUT,RUBELLA,1,0.03,1980,32
31809,DE,DELAWARE,RUBELLA,0,0.0,1980,32
31810,FL,FLORIDA,RUBELLA,1,0.01,1980,32
31811,IA,IOWA,RUBELLA,1,0.03,1980,32
31812,ID,IDAHO,RUBELLA,0,0.0,1980,32
31813,IL,ILLINOIS,RUBELLA,3,0.03,1980,32
31814,IN,INDIANA,RUBELLA,0,0.0,1980,32
31815,KS,KANSAS,RUBELLA,0,0.0,1980,32
31816,KY,KENTUCKY,RUBELLA,0,0.0,1980,32
31817,LA,LOUISIANA,RUBELLA,0,0.0,1980,32
31818,MA,MASSACHUSETTS,RUBELLA,0,0.0,1980,32
31819,MD,MARYLAND,RUBELLA,0,0.0,1980,32
31820,ME,MAINE,RUBELLA,0,0.0,1980,32
31821,MI,MICHIGAN,RUBELLA,0,0.0,1980,32
31822,MN,MINNESOTA,RUBELLA,0,0.0,1980,32
31823,MO,MISSOURI,RUBELLA,0,0.0,1980,32
31824,MS,MISSISSIPPI,RUBELLA,0,0.0,1980,32
31825,MT,MONTANA,RUBELLA,0,0.0,1980,32
31826,NC,NORTH CAROLINA,RUBELLA,0,0.0,1980,32
31827,ND,NORTH DAKOTA,RUBELLA,0,0.0,1980,32
31828,NE,NEBRASKA,RUBELLA,0,0.0,1980,32
31829,NH,NEW HAMPSHIRE,RUBELLA,0,0.0,1980,32
31830,NJ,NEW JERSEY,RUBELLA,0,0.0,1980,32
31831,NM,NEW MEXICO,RUBELLA,0,0.0,1980,32
31832,NV,NEVADA,RUBELLA,0,0.0,1980,32
31833,NY,NEW YORK,RUBELLA,4,0.02,1980,32
31834,OH,OHIO,RUBELLA,0,0.0,1980,32
31835,OK,OKLAHOMA,RUBELLA,0,0.0,1980,32
31836,OR,OREGON,RUBELLA,0,0.0,1980,32
31837,PA,PENNSYLVANIA,RUBELLA,0,0.0,1980,32
31838,RI,RHODE ISLAND,RUBELLA,0,0.0,1980,32
31839,SC,SOUTH CAROLINA,RUBELLA,2,0.06,1980,32
31840,SD,SOUTH DAKOTA,RUBELLA,2,0.29,1980,32
31841,TN,TENNESSEE,RUBELLA,2,0.04,1980,32
31842,TX,TEXAS,RUBELLA,2,0.01,1980,32
31843,UT,UTAH,RUBELLA,0,0.0,1980,32
31844,VA,VIRGINIA,RUBELLA,0,0.0,1980,32
31845,VT,VERMONT,RUBELLA,0,0.0,1980,32
31846,WA,WASHINGTON,RUBELLA,2,0.05,1980,32
31847,WI,WISCONSIN,RUBELLA,2,0.04,1980,32
31848,WV,WEST VIRGINIA,RUBELLA,0,0.0,1980,32
31849,WY,WYOMING,RUBELLA,0,0.0,1980,32
31850,AK,ALASKA,RUBELLA,0,0.0,1980,33
31851,AR,ARKANSAS,RUBELLA,0,0.0,1980,33
31852,AZ,ARIZONA,RUBELLA,0,0.0,1980,33
31853,CA,CALIFORNIA,RUBELLA,11,0.05,1980,33
31854,CO,COLORADO,RUBELLA,0,0.0,1980,33
31855,CT,CONNECTICUT,RUBELLA,2,0.06,1980,33
31856,DE,DELAWARE,RUBELLA,0,0.0,1980,33
31857,FL,FLORIDA,RUBELLA,0,0.0,1980,33
31858,HI,HAWAII,RUBELLA,0,0.0,1980,33
31859,IA,IOWA,RUBELLA,0,0.0,1980,33
31860,ID,IDAHO,RUBELLA,0,0.0,1980,33
31861,IL,ILLINOIS,RUBELLA,0,0.0,1980,33
31862,IN,INDIANA,RUBELLA,4,0.07,1980,33
31863,KS,KANSAS,RUBELLA,0,0.0,1980,33
31864,KY,KENTUCKY,RUBELLA,1,0.03,1980,33
31865,LA,LOUISIANA,RUBELLA,0,0.0,1980,33
31866,MA,MASSACHUSETTS,RUBELLA,1,0.02,1980,33
31867,MD,MARYLAND,RUBELLA,0,0.0,1980,33
31868,ME,MAINE,RUBELLA,0,0.0,1980,33
31869,MI,MICHIGAN,RUBELLA,3,0.03,1980,33
31870,MN,MINNESOTA,RUBELLA,0,0.0,1980,33
31871,MO,MISSOURI,RUBELLA,0,0.0,1980,33
31872,MS,MISSISSIPPI,RUBELLA,0,0.0,1980,33
31873,MT,MONTANA,RUBELLA,4,0.5,1980,33
31874,NC,NORTH CAROLINA,RUBELLA,2,0.03,1980,33
31875,ND,NORTH DAKOTA,RUBELLA,0,0.0,1980,33
31876,NE,NEBRASKA,RUBELLA,0,0.0,1980,33
31877,NH,NEW HAMPSHIRE,RUBELLA,1,0.11,1980,33
31878,NJ,NEW JERSEY,RUBELLA,3,0.04,1980,33
31879,NM,NEW MEXICO,RUBELLA,0,0.0,1980,33
31880,NV,NEVADA,RUBELLA,0,0.0,1980,33
31881,NY,NEW YORK,RUBELLA,1,0.01,1980,33
31882,OH,OHIO,RUBELLA,0,0.0,1980,33
31883,OK,OKLAHOMA,RUBELLA,0,0.0,1980,33
31884,OR,OREGON,RUBELLA,0,0.0,1980,33
31885,PA,PENNSYLVANIA,RUBELLA,1,0.01,1980,33
31886,RI,RHODE ISLAND,RUBELLA,0,0.0,1980,33
31887,SC,SOUTH CAROLINA,RUBELLA,0,0.0,1980,33
31888,SD,SOUTH DAKOTA,RUBELLA,0,0.0,1980,33
31889,TN,TENNESSEE,RUBELLA,0,0.0,1980,33
31890,TX,TEXAS,RUBELLA,2,0.01,1980,33
31891,UT,UTAH,RUBELLA,0,0.0,1980,33
31892,VA,VIRGINIA,RUBELLA,0,0.0,1980,33
31893,VT,VERMONT,RUBELLA,0,0.0,1980,33
31894,WA,WASHINGTON,RUBELLA,0,0.0,1980,33
31895,WI,WISCONSIN,RUBELLA,1,0.02,1980,33
31896,WV,WEST VIRGINIA,RUBELLA,0,0.0,1980,33
31897,WY,WYOMING,RUBELLA,0,0.0,1980,33
31898,AK,ALASKA,RUBELLA,0,0.0,1980,34
31899,AL,ALABAMA,RUBELLA,0,0.0,1980,34
31900,AR,ARKANSAS,RUBELLA,0,0.0,1980,34
31901,AZ,ARIZONA,RUBELLA,0,0.0,1980,34
31902,CA,CALIFORNIA,RUBELLA,8,0.03,1980,34
31903,CO,COLORADO,RUBELLA,2,0.07,1980,34
31904,CT,CONNECTICUT,RUBELLA,0,0.0,1980,34
31905,DC,DISTRICT OF COLUMBIA,RUBELLA,0,0.0,1980,34
31906,DE,DELAWARE,RUBELLA,0,0.0,1980,34
31907,FL,FLORIDA,RUBELLA,7,0.07,1980,34
31908,HI,HAWAII,RUBELLA,0,0.0,1980,34
31909,IA,IOWA,RUBELLA,0,0.0,1980,34
31910,ID,IDAHO,RUBELLA,0,0.0,1980,34
31911,IL,ILLINOIS,RUBELLA,0,0.0,1980,34
31912,IN,INDIANA,RUBELLA,1,0.02,1980,34
31913,KS,KANSAS,RUBELLA,0,0.0,1980,34
31914,KY,KENTUCKY,RUBELLA,0,0.0,1980,34
31915,LA,LOUISIANA,RUBELLA,0,0.0,1980,34
31916,MA,MASSACHUSETTS,RUBELLA,2,0.03,1980,34
31917,MD,MARYLAND,RUBELLA,0,0.0,1980,34
31918,ME,MAINE,RUBELLA,0,0.0,1980,34
31919,MI,MICHIGAN,RUBELLA,0,0.0,1980,34
31920,MN,MINNESOTA,RUBELLA,0,0.0,1980,34
31921,MO,MISSOURI,RUBELLA,0,0.0,1980,34
31922,MS,MISSISSIPPI,RUBELLA,0,0.0,1980,34
31923,MT,MONTANA,RUBELLA,1,0.13,1980,34
31924,NC,NORTH CAROLINA,RUBELLA,0,0.0,1980,34
31925,ND,NORTH DAKOTA,RUBELLA,0,0.0,1980,34
31926,NE,NEBRASKA,RUBELLA,0,0.0,1980,34
31927,NH,NEW HAMPSHIRE,RUBELLA,0,0.0,1980,34
31928,NJ,NEW JERSEY,RUBELLA,0,0.0,1980,34
31929,NM,NEW MEXICO,RUBELLA,0,0.0,1980,34
31930,NV,NEVADA,RUBELLA,0,0.0,1980,34
31931,NY,NEW YORK,RUBELLA,1,0.01,1980,34
31932,OH,OHIO,RUBELLA,0,0.0,1980,34
31933,OK,OKLAHOMA,RUBELLA,0,0.0,1980,34
31934,OR,OREGON,RUBELLA,0,0.0,1980,34
31935,PA,PENNSYLVANIA,RUBELLA,0,0.0,1980,34
31936,RI,RHODE ISLAND,RUBELLA,0,0.0,1980,34
31937,SC,SOUTH CAROLINA,RUBELLA,0,0.0,1980,34
31938,SD,SOUTH DAKOTA,RUBELLA,0,0.0,1980,34
31939,TN,TENNESSEE,RUBELLA,0,0.0,1980,34
31940,TX,TEXAS,RUBELLA,0,0.0,1980,34
31941,UT,UTAH,RUBELLA,1,0.07,1980,34
31942,VA,VIRGINIA,RUBELLA,0,0.0,1980,34
31943,VT,VERMONT,RUBELLA,0,0.0,1980,34
31944,WA,WASHINGTON,RUBELLA,2,0.05,1980,34
31945,WI,WISCONSIN,RUBELLA,4,0.08,1980,34
31946,WV,WEST VIRGINIA,RUBELLA,0,0.0,1980,34
31947,WY,WYOMING,RUBELLA,0,0.0,1980,34
31948,AK,ALASKA,RUBELLA,1,0.24,1980,35
31949,AL,ALABAMA,RUBELLA,0,0.0,1980,35
31950,AR,ARKANSAS,RUBELLA,0,0.0,1980,35
31951,AZ,ARIZONA,RUBELLA,0,0.0,1980,35
31952,CA,CALIFORNIA,RUBELLA,0,0.0,1980,35
31953,CO,COLORADO,RUBELLA,0,0.0,1980,35
31954,CT,CONNECTICUT,RUBELLA,0,0.0,1980,35
31955,DC,DISTRICT OF COLUMBIA,RUBELLA,0,0.0,1980,35
31956,DE,DELAWARE,RUBELLA,0,0.0,1980,35
31957,FL,FLORIDA,RUBELLA,1,0.01,1980,35
31958,HI,HAWAII,RUBELLA,0,0.0,1980,35
31959,IA,IOWA,RUBELLA,0,0.0,1980,35
31960,ID,IDAHO,RUBELLA,0,0.0,1980,35
31961,IL,ILLINOIS,RUBELLA,0,0.0,1980,35
31962,IN,INDIANA,RUBELLA,0,0.0,1980,35
31963,KS,KANSAS,RUBELLA,0,0.0,1980,35
31964,KY,KENTUCKY,RUBELLA,1,0.03,1980,35
31965,LA,LOUISIANA,RUBELLA,0,0.0,1980,35
31966,MA,MASSACHUSETTS,RUBELLA,0,0.0,1980,35
31967,MD,MARYLAND,RUBELLA,0,0.0,1980,35
31968,ME,MAINE,RUBELLA,0,0.0,1980,35
31969,MI,MICHIGAN,RUBELLA,0,0.0,1980,35
31970,MO,MISSOURI,RUBELLA,0,0.0,1980,35
31971,MS,MISSISSIPPI,RUBELLA,0,0.0,1980,35
31972,MT,MONTANA,RUBELLA,0,0.0,1980,35
31973,NC,NORTH CAROLINA,RUBELLA,0,0.0,1980,35
31974,ND,NORTH DAKOTA,RUBELLA,0,0.0,1980,35
31975,NE,NEBRASKA,RUBELLA,0,0.0,1980,35
31976,NH,NEW HAMPSHIRE,RUBELLA,0,0.0,1980,35
31977,NJ,NEW JERSEY,RUBELLA,0,0.0,1980,35
31978,NM,NEW MEXICO,RUBELLA,0,0.0,1980,35
31979,NV,NEVADA,RUBELLA,0,0.0,1980,35
31980,NY,NEW YORK,RUBELLA,6,0.03,1980,35
31981,OH,OHIO,RUBELLA,0,0.0,1980,35
31982,OK,OKLAHOMA,RUBELLA,0,0.0,1980,35
31983,OR,OREGON,RUBELLA,0,0.0,1980,35
31984,PA,PENNSYLVANIA,RUBELLA,0,0.0,1980,35
31985,RI,RHODE ISLAND,RUBELLA,0,0.0,1980,35
31986,SC,SOUTH CAROLINA,RUBELLA,0,0.0,1980,35
31987,SD,SOUTH DAKOTA,RUBELLA,0,0.0,1980,35
31988,TN,TENNESSEE,RUBELLA,0,0.0,1980,35
31989,TX,TEXAS,RUBELLA,2,0.01,1980,35
31990,UT,UTAH,RUBELLA,0,0.0,1980,35
31991,VA,VIRGINIA,RUBELLA,0,0.0,1980,35
31992,VT,VERMONT,RUBELLA,0,0.0,1980,35
31993,WA,WASHINGTON,RUBELLA,0,0.0,1980,35
31994,WI,WISCONSIN,RUBELLA,2,0.04,1980,35
31995,WV,WEST VIRGINIA,RUBELLA,0,0.0,1980,35
31996,WY,WYOMING,RUBELLA,0,0.0,1980,35
31997,AK,ALASKA,RUBELLA,0,0.0,1980,36
31998,AL,ALABAMA,RUBELLA,0,0.0,1980,36
31999,AR,ARKANSAS,RUBELLA,0,0.0,1980,36
32000,AZ,ARIZONA,RUBELLA,0,0.0,1980,36
32001,CA,CALIFORNIA,RUBELLA,0,0.0,1980,36
32002,CO,COLORADO,RUBELLA,0,0.0,1980,36
32003,CT,CONNECTICUT,RUBELLA,0,0.0,1980,36
32004,DC,DISTRICT OF COLUMBIA,RUBELLA,0,0.0,1980,36
32005,DE,DELAWARE,RUBELLA,0,0.0,1980,36
32006,FL,FLORIDA,RUBELLA,8,0.08,1980,36
32007,HI,HAWAII,RUBELLA,0,0.0,1980,36
32008,IA,IOWA,RUBELLA,0,0.0,1980,36
32009,ID,IDAHO,RUBELLA,0,0.0,1980,36
32010,IL,ILLINOIS,RUBELLA,0,0.0,1980,36
32011,IN,INDIANA,RUBELLA,1,0.02,1980,36
32012,KS,KANSAS,RUBELLA,0,0.0,1980,36
32013,KY,KENTUCKY,RUBELLA,0,0.0,1980,36
32014,LA,LOUISIANA,RUBELLA,0,0.0,1980,36
32015,MA,MASSACHUSETTS,RUBELLA,2,0.03,1980,36
32016,MD,MARYLAND,RUBELLA,0,0.0,1980,36
32017,ME,MAINE,RUBELLA,0,0.0,1980,36
32018,MI,MICHIGAN,RUBELLA,0,0.0,1980,36
32019,MN,MINNESOTA,RUBELLA,0,0.0,1980,36
32020,MO,MISSOURI,RUBELLA,0,0.0,1980,36
32021,MS,MISSISSIPPI,RUBELLA,0,0.0,1980,36
32022,MT,MONTANA,RUBELLA,0,0.0,1980,36
32023,NC,NORTH CAROLINA,RUBELLA,0,0.0,1980,36
32024,ND,NORTH DAKOTA,RUBELLA,0,0.0,1980,36
32025,NE,NEBRASKA,RUBELLA,0,0.0,1980,36
32026,NH,NEW HAMPSHIRE,RUBELLA,1,0.11,1980,36
32027,NJ,NEW JERSEY,RUBELLA,1,0.01,1980,36
32028,NM,NEW MEXICO,RUBELLA,0,0.0,1980,36
32029,NV,NEVADA,RUBELLA,0,0.0,1980,36
32030,NY,NEW YORK,RUBELLA,19,0.11,1980,36
32031,OH,OHIO,RUBELLA,0,0.0,1980,36
32032,OK,OKLAHOMA,RUBELLA,0,0.0,1980,36
32033,OR,OREGON,RUBELLA,0,0.0,1980,36
32034,PA,PENNSYLVANIA,RUBELLA,0,0.0,1980,36
32035,RI,RHODE ISLAND,RUBELLA,0,0.0,1980,36
32036,SC,SOUTH CAROLINA,RUBELLA,0,0.0,1980,36
32037,SD,SOUTH DAKOTA,RUBELLA,0,0.0,1980,36
32038,TN,TENNESSEE,RUBELLA,0,0.0,1980,36
32039,TX,TEXAS,RUBELLA,0,0.0,1980,36
32040,UT,UTAH,RUBELLA,0,0.0,1980,36
32041,VA,VIRGINIA,RUBELLA,1,0.02,1980,36
32042,VT,VERMONT,RUBELLA,0,0.0,1980,36
32043,WA,WASHINGTON,RUBELLA,3,0.07,1980,36
32044,WI,WISCONSIN,RUBELLA,4,0.08,1980,36
32045,WV,WEST VIRGINIA,RUBELLA,1,0.05,1980,36
32046,WY,WYOMING,RUBELLA,0,0.0,1980,36
32047,AK,ALASKA,RUBELLA,1,0.24,1980,37
32048,AL,ALABAMA,RUBELLA,0,0.0,1980,37
32049,AR,ARKANSAS,RUBELLA,0,0.0,1980,37
32050,AZ,ARIZONA,RUBELLA,1,0.04,1980,37
32051,CA,CALIFORNIA,RUBELLA,5,0.02,1980,37
32052,CO,COLORADO,RUBELLA,0,0.0,1980,37
32053,CT,CONNECTICUT,RUBELLA,0,0.0,1980,37
32054,DC,DISTRICT OF COLUMBIA,RUBELLA,0,0.0,1980,37
32055,DE,DELAWARE,RUBELLA,0,0.0,1980,37
32056,FL,FLORIDA,RUBELLA,4,0.04,1980,37
32057,HI,HAWAII,RUBELLA,0,0.0,1980,37
32058,IA,IOWA,RUBELLA,0,0.0,1980,37
32059,ID,IDAHO,RUBELLA,1,0.1,1980,37
32060,IL,ILLINOIS,RUBELLA,2,0.02,1980,37
32061,IN,INDIANA,RUBELLA,1,0.02,1980,37
32062,KS,KANSAS,RUBELLA,0,0.0,1980,37
32063,KY,KENTUCKY,RUBELLA,0,0.0,1980,37
32064,LA,LOUISIANA,RUBELLA,0,0.0,1980,37
32065,MA,MASSACHUSETTS,RUBELLA,1,0.02,1980,37
32066,MD,MARYLAND,RUBELLA,0,0.0,1980,37
32067,ME,MAINE,RUBELLA,0,0.0,1980,37
32068,MI,MICHIGAN,RUBELLA,0,0.0,1980,37
32069,MN,MINNESOTA,RUBELLA,0,0.0,1980,37
32070,MO,MISSOURI,RUBELLA,0,0.0,1980,37
32071,MS,MISSISSIPPI,RUBELLA,0,0.0,1980,37
